REGISTRO;P0;P1;P2;P3;P3A;P4;P5A_1;P5B_1;P5A_2;P5B_2;P5A_3;P5B_3;P5A_4;P5B_4;P5A_5;P5B_5;P6;P7;P8;P9;P10;D1;D2;D3;D4;D5;D6;CA;AUT;HABI;POND
4;1;2;2;96;;1;1;3;1;5;1;1;1;0;1;4;1;1;2;1;1;3;5;2;1;2;1;13;13;4;1,07566
5;1;1;3;97;4;4;1;1;1;4;1;4;1;3;1;0;4;1;2;1;1;3;3;2;2;5;1;13;13;4;0,99318
6;1;98;4;97;97;97;1;5;1;98;1;5;1;5;1;5;97;99;96;2;1;98;3;1;3;5;1;13;13;4;0,91411
27;1;1;1;1;;1;1;7;1;5;1;0;1;0;1;2;1;2;1;1;1;4;3;2;3;4;1;12;12;2;0,92677
28;1;1;1;2;;97;1;5;2;;1;10;1;5;1;4;2;1;2;1;1;3;5;1;3;2;1;13;13;4;0,91411
31;1;1;1;14;;1;1;7;1;6;1;1;1;3;1;8;14;2;2;1;2;4;1;2;2;5;1;13;13;2;1,00121
33;1;4;1;98;98;4;1;1;1;5;1;4;1;3;2;;4;1;2;98;1;2;3;2;2;5;5;1;1;2;1,00721
36;1;1;1;14;;4;1;9;1;8;1;0;1;0;1;10;14;2;1;1;1;4;3;1;4;2;6;1;1;3;0,97157
38;1;1;1;2;;9;1;0;1;0;1;9;1;7;1;0;2;1;2;2;2;1;5;1;4;4;6;16;16;1;1,06206
39;1;4;1;98;97;97;2;;1;0;1;2;1;8;2;;5;1;1;98;2;98;3;1;3;4;1;16;16;2;0,92794
42;1;1;1;14;;1;1;6;1;8;1;2;1;2;1;10;14;2;2;1;1;4;3;1;4;3;1;1;1;4;0,93557
43;1;98;1;98;97;97;2;;2;;1;7;1;5;2;;98;98;1;2;2;98;5;1;1;2;5;5;5;2;1,02538
44;1;1;1;14;;1;1;5;1;1;1;0;1;0;1;9;14;2;1;1;1;5;1;1;3;3;1;16;16;3;0,95589
48;1;4;2;98;97;13;2;;1;98;1;98;1;98;2;;97;1;2;1;98;98;3;2;2;3;1;10;10;2;1,03536
58;1;2;1;1;;1;1;8;1;8;1;0;1;0;1;8;1;2;1;1;2;3;3;2;4;2;6;13;13;4;0,96404
65;1;1;1;98;2;5;1;0;1;1;1;6;1;5;1;0;2;1;2;2;1;1;3;1;2;5;1;7;7;3;1,00459
